,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
